Method,n,k,elapsed
Heap,16384,1024,319462
BST,16384,1024,2322709
Linear,16384,1024,251457
BruteForce,32768,8,260934
BruteForceIdiomatic,32768,8,260657
Heap,32768,8,2511631
BST,32768,8,2209292
Linear,32768,8,508955
BruteForce,32768,16,507086
BruteForceIdiomatic,32768,16,572929
Heap,32768,16,2035461
BST,32768,16,2823043
Linear,32768,16,524798
BruteForce,32768,32,1048165
BruteForceIdiomatic,32768,32,1121896
Heap,32768,32,1521902
BST,32768,32,3083798
Linear,32768,32,507911
BruteForce,32768,64,2209960
BruteForceIdiomatic,32768,64,2426887
Heap,32768,64,1026205
BST,32768,64,3343950
Linear,32768,64,503785
BruteForce,32768,128,4405022
BruteForceIdiomatic,32768,128,4684995
Heap,32768,128,807240
BST,32768,128,3504503
Linear,32768,128,500261
BruteForce,32768,256,8751797
BruteForceIdiomatic,32768,256,9055619
Heap,32768,256,787948
BST,32768,256,3809986
Linear,32768,256,503127
BruteForce,32768,512,17258620
BruteForceIdiomatic,32768,512,18073788
Heap,32768,512,676720
BST,32768,512,4167640
Linear,32768,512,499230
BruteForce,32768,1024,33969672
BruteForceIdiomatic,32768,1024,35752116
Heap,32768,1024,663703
BST,32768,1024,4663175
Linear,32768,1024,513155
BruteForce,65536,8,506346
BruteForceIdiomatic,65536,8,522679
Heap,65536,8,5756134
BST,65536,8,4457314
Linear,65536,8,1050211
BruteForce,65536,16,1016474
BruteForceIdiomatic,65536,16,1095081
Heap,65536,16,4399702
BST,65536,16,5602812
Linear,65536,16,1021059
BruteForce,65536,32,2125164
BruteForceIdiomatic,65536,32,2244169
Heap,65536,32,3111320
BST,65536,32,6063326
Linear,65536,32,1009915
BruteForce,65536,64,4357745
BruteForceIdiomatic,65536,64,4860982
Heap,65536,64,2065347
BST,65536,64,6482654
Linear,65536,64,1007779
BruteForce,65536,128,8832731
BruteForceIdiomatic,65536,128,9402381
Heap,65536,128,1806240
BST,65536,128,6940676
Linear,65536,128,1000631
BruteForce,65536,256,17423012
BruteForceIdiomatic,65536,256,18449226
Heap,65536,256,1484040
BST,65536,256,7627960
Linear,65536,256,996752
BruteForce,65536,512,35212296
BruteForceIdiomatic,65536,512,36580515
Heap,65536,512,1369807
BST,65536,512,8382360
Linear,65536,512,992780
BruteForce,65536,1024,69031581
BruteForceIdiomatic,65536,1024,72494978
Heap,65536,1024,1330845
BST,65536,1024,9406497
Linear,65536,1024,995160
BruteForce,131072,8,1043560
BruteForceIdiomatic,131072,8,1042711
Heap,131072,8,11648105
BST,131072,8,8838812
Linear,131072,8,2034063
BruteForce,131072,16,2028508
BruteForceIdiomatic,131072,16,2192098
Heap,131072,16,8640966
BST,131072,16,11177594
Linear,131072,16,2056206
BruteForce,131072,32,4215097
BruteForceIdiomatic,131072,32,4543948
Heap,131072,32,6811647
BST,131072,32,12221056
Linear,131072,32,2015286
BruteForce,131072,64,8783439
BruteForceIdiomatic,131072,64,9847869
Heap,131072,64,5291519
BST,131072,64,13195563
Linear,131072,64,2006497
BruteForce,131072,128,17620587
BruteForceIdiomatic,131072,128,18833925
Heap,131072,128,3580836
BST,131072,128,14323868
Linear,131072,128,1991785
BruteForce,131072,256,35173605
BruteForceIdiomatic,131072,256,37272155
Heap,131072,256,3112748
BST,131072,256,15388292
Linear,131072,256,1984364
BruteForce,131072,512,69911329
BruteForceIdiomatic,131072,512,73659440
Heap,131072,512,2808246
BST,131072,512,16820428
Linear,131072,512,2000609
BruteForce,131072,1024,139214461
BruteForceIdiomatic,131072,1024,146483857
Heap,131072,1024,2683680
BST,131072,1024,18784173
Linear,131072,1024,1981231
