Method,n,k,elapsed
BruteForceIdiomatic,16384,512,225709849
Heap,16384,512,2806657
BST,16384,512,8622122
Linear,16384,512,1898096
BruteForce,16384,1024,434162936
BruteForceIdiomatic,16384,1024,434724047
Heap,16384,1024,2769030
BST,16384,1024,9468303
Linear,16384,1024,1856287
BruteForce,32768,8,9899904
BruteForceIdiomatic,32768,8,9963023
Heap,32768,8,22044600
BST,32768,8,9840600
Linear,32768,8,3775242
BruteForce,32768,16,17417532
BruteForceIdiomatic,32768,16,17564994
Heap,32768,16,18142429
BST,32768,16,11356746
Linear,32768,16,3778742
BruteForce,32768,32,32165563
BruteForceIdiomatic,32768,32,32207302
Heap,32768,32,12187033
BST,32768,32,12613613
Linear,32768,32,3795879
BruteForce,32768,64,61237031
BruteForceIdiomatic,32768,64,61254783
Heap,32768,64,9417027
BST,32768,64,13907418
Linear,32768,64,3820026
BruteForce,32768,128,118858223
BruteForceIdiomatic,32768,128,118789429
Heap,32768,128,6881391
BST,32768,128,15279533
Linear,32768,128,3835013
BruteForce,32768,256,232975357
BruteForceIdiomatic,32768,256,233083686
Heap,32768,256,6090329
BST,32768,256,16564623
Linear,32768,256,3810742
BruteForce,32768,512,458538243
BruteForceIdiomatic,32768,512,458703413
Heap,32768,512,5783048
BST,32768,512,17600711
Linear,32768,512,3776669
BruteForce,32768,1024,898013289
BruteForceIdiomatic,32768,1024,898612881
Heap,32768,1024,5636806
BST,32768,1024,18832329
Linear,32768,1024,3748193
BruteForce,65536,8,19853273
BruteForceIdiomatic,65536,8,20038326
Heap,65536,8,47917465
BST,65536,8,19740281
Linear,65536,8,7622244
BruteForce,65536,16,34926820
BruteForceIdiomatic,65536,16,35018968
Heap,65536,16,38005700
BST,65536,16,22809958
Linear,65536,16,7594930
BruteForce,65536,32,64322586
BruteForceIdiomatic,65536,32,64435219
Heap,65536,32,23353913
BST,65536,32,25241287
Linear,65536,32,7590793
BruteForce,65536,64,122432551
BruteForceIdiomatic,65536,64,122816879
Heap,65536,64,19041645
BST,65536,64,27786132
Linear,65536,64,7623200
BruteForce,65536,128,238592725
BruteForceIdiomatic,65536,128,238693392
Heap,65536,128,14804914
BST,65536,128,30578332
Linear,65536,128,7617248
BruteForce,65536,256,468032288
BruteForceIdiomatic,65536,256,468528088
Heap,65536,256,12697063
BST,65536,256,33031553
Linear,65536,256,7623259
BruteForce,65536,512,925586403
BruteForceIdiomatic,65536,512,924577054
Heap,65536,512,11724723
BST,65536,512,35704661
Linear,65536,512,7651038
BruteForce,65536,1024,1826796641
BruteForceIdiomatic,65536,1024,1826030161
Heap,65536,1024,11262647
BST,65536,1024,39495068
Linear,65536,1024,7562569
BruteForce,131072,8,39835687
BruteForceIdiomatic,131072,8,39970527
Heap,131072,8,102313245
BST,131072,8,39588754
Linear,131072,8,15118322
BruteForce,131072,16,69815388
BruteForceIdiomatic,131072,16,69959761
Heap,131072,16,76594796
BST,131072,16,45679652
Linear,131072,16,15256080
BruteForce,131072,32,128743149
BruteForceIdiomatic,131072,32,128838859
Heap,131072,32,54939234
BST,131072,32,50583982
Linear,131072,32,15318376
BruteForce,131072,64,245468402
BruteForceIdiomatic,131072,64,245578466
Heap,131072,64,37437622
BST,131072,64,55771859
Linear,131072,64,15362822
BruteForce,131072,128,477043738
BruteForceIdiomatic,131072,128,477374181
Heap,131072,128,30387029
BST,131072,128,61565743
Linear,131072,128,15319761
BruteForce,131072,256,938477394
BruteForceIdiomatic,131072,256,938100813
Heap,131072,256,26176964
BST,131072,256,67298383
Linear,131072,256,15392968
BruteForce,131072,512,1856008200
BruteForceIdiomatic,131072,512,1857109110
Heap,131072,512,24288166
BST,131072,512,73632672
Linear,131072,512,15243493
BruteForce,131072,1024,3681729510
BruteForceIdiomatic,131072,1024,3680900594
Heap,131072,1024,23076407
BST,131072,1024,77104416
Linear,131072,1024,15295852
