Method,n,k,elapsed
BruteForceIdiomatic,16384,512,223006738
Heap,16384,512,2786930
BST,16384,512,8690343
Linear,16384,512,1874452
BruteForce,16384,1024,429457256
BruteForceIdiomatic,16384,1024,430358471
Heap,16384,1024,2700566
BST,16384,1024,9241441
Linear,16384,1024,1847507
BruteForce,32768,8,9827297
BruteForceIdiomatic,32768,8,9875732
Heap,32768,8,22226863
BST,32768,8,9818600
Linear,32768,8,3750229
BruteForce,32768,16,17276613
BruteForceIdiomatic,32768,16,17322903
Heap,32768,16,16931774
BST,32768,16,11325525
Linear,32768,16,3778705
BruteForce,32768,32,31840599
BruteForceIdiomatic,32768,32,31892407
Heap,32768,32,11543499
BST,32768,32,12571824
Linear,32768,32,3778997
BruteForce,32768,64,60495835
BruteForceIdiomatic,32768,64,60575882
Heap,32768,64,8146694
BST,32768,64,13803557
Linear,32768,64,3825685
BruteForce,32768,128,117973961
BruteForceIdiomatic,32768,128,117482785
Heap,32768,128,6826911
BST,32768,128,15683917
Linear,32768,128,3982290
BruteForce,32768,256,234161799
BruteForceIdiomatic,32768,256,236384072
Heap,32768,256,5973722
BST,32768,256,16518579
Linear,32768,256,3820584
BruteForce,32768,512,458911408
BruteForceIdiomatic,32768,512,454040514
Heap,32768,512,5626568
BST,32768,512,18057202
Linear,32768,512,3878933
BruteForce,32768,1024,895137013
BruteForceIdiomatic,32768,1024,910181380
Heap,32768,1024,5421873
BST,32768,1024,20298560
Linear,32768,1024,3939095
BruteForce,65536,8,20246632
BruteForceIdiomatic,65536,8,19823885
Heap,65536,8,49745012
BST,65536,8,19814230
Linear,65536,8,7860195
BruteForce,65536,16,36309444
BruteForceIdiomatic,65536,16,36518666
Heap,65536,16,36166311
BST,65536,16,22898789
Linear,65536,16,7550542
BruteForce,65536,32,64273280
BruteForceIdiomatic,65536,32,64261239
Heap,65536,32,29157023
BST,65536,32,25502117
Linear,65536,32,7621140
BruteForce,65536,64,122241023
BruteForceIdiomatic,65536,64,123215225
Heap,65536,64,18037998
BST,65536,64,27698778
Linear,65536,64,7570450
BruteForce,65536,128,235374828
BruteForceIdiomatic,65536,128,235617619
Heap,65536,128,13647943
BST,65536,128,30399505
Linear,65536,128,7563393
BruteForce,65536,256,462976603
BruteForceIdiomatic,65536,256,463129480
Heap,65536,256,12481659
BST,65536,256,33351507
Linear,65536,256,7570636
BruteForce,65536,512,915043275
BruteForceIdiomatic,65536,512,931109637
Heap,65536,512,11501903
BST,65536,512,36014356
Linear,65536,512,7600635
BruteForce,65536,1024,1822101795
BruteForceIdiomatic,65536,1024,1818175840
Heap,65536,1024,11079438
BST,65536,1024,39679885
Linear,65536,1024,7552452
BruteForce,131072,8,40262100
